reviewerID,asin,reviewText,clean_reviewText,summary,clean_summary,rating,helpful_rev,not_helpful_rev,helpful_rev_ratio,rev_year,rev_month,reviewTime,rating_class
APWARS0L4QGPC,1400599997,"My wife has had a Nook for a few months and loves it.  I ordered one thinking it would be great.  It arrived and I loaded a part of my book collection and immediately ran into trouble.If I loaded a few books all went well but when I tried to load about one hundred it gave me a message that it was looking for new items.  I don't know where it went looking but it was a long long trip.  Ten hours later it was still out looking.I tried everything including customer service.  Emailed - never heard from them.  Phoned and the tech blamed me, the books etc but never the Nook.  Resulting conclusion from him was that I should buy books from Barnes and Noble so they would work.  I asked why they advertized that it would read .pdf and .epb.  He said, well, most of the time it reads them.Phoned tech again and this one said that it was defective and set up a replacement.  Replacement came and it was doing the same thing.  I left it for nearly twelve hours and nothing happening.I googled and found others are having the same problem, some believe it is related to the new update Barnes and Noble put out.  I am no longer concerned as it is on the way back.",wife nook months love order one think would great arrive load part book collection immediately run trouble.if load book go well try load one hundred give message look new items don know go look long long trip ten hours later still looking.i try everything include customer service email never hear phone tech blame book etc never nook result conclusion buy book barnes noble would work ask advertize would read .pdf .epb say well time read them.phoned tech one say defective set replacement replacement come thing leave nearly twelve hours nothing happening.i google find others problem believe relate new update barnes noble put no longer concern way back .,Advertized features are questionable,advertize feature questionable,1.0,15,7,0.6818181818181818,2010,7,2010-07-03,bad
AO84V5QJ6K23Z,1400501520,"If you are looking for a very light and compact device to read your books, check your e-mail and watch movies, you really can't beat the Nook HD. It has the highest screen resolution for its form factor (7"") and is a pleasure to read and write with. Netflix & Hulu+ are magical to view since the resolution is so high and it's so darn light. Being able to expand the memory with a micro SD card is just another plus. All-in-all, I'm very pleased with it an would recommend it highly!",look light compact device read book check e-mail watch movies really beat nook hd highest screen resolution form factor pleasure read write netflix hulu+ magical view since resolution high darn light able expand memory micro sd card another plus all-in-all please would recommend highly,compact and useful,compact useful,5.0,16,0,1.0,2013,5,2013-05-14,good
A2JXS1JII6SAUD,1400599997,"Very happy with the purchase of the nook.  Wonderful minimalist design lends well to an e-reader - It's easy to hold and is the perfect size for those used to the size of a paperback (slightly larger, yes, but certainly not as large as the Kindle or the Ipad).  I'm tired of these negative reviews about devices that are defective - Yes, we all get electronics that go bad, but really, can't you talk about the functionality of the device a bit?  Anyway, the device isn't perfect (interface not as smooth as the Ipad), but for the price and functionality it's great.  I can read e-books borrowed from my local library, have free 3G service when I'm out and about, and I like the fact that the reading screen is not touch based (avoids fingerprints).  All in all, worth the price.",happy purchase nook wonderful minimalist design lend well e-reader easy hold perfect size use size paperback slightly larger yes certainly not large kindle ipad tire negative review devices defective yes get electronics go bad really talk functionality device bite anyway device isn perfect interface not smooth ipad price functionality great read e-books borrow local library free service like fact read screen not touch base avoid fingerprint worth price .,Great device,great device,5.0,0,0,0.0,2010,7,2010-07-08,good
A3OLLN3VV2SF0L,1400698987,"I bought this refurb for under $100 and so glad I did! I tried the Samsung Galaxy Tab 2 (expensive and glitchy), the Lenvovo Idea Tab (poor performance) before I settled on the Nook. After using tablets at both high and low-end price points I figured I had nothing to lose--and was pleasantly surprised by the Nook's capabilities!On the Nook I can read BN or Kindle books, play Scrabble from the Android store, and watch Netflix. More advanced features such as GPS and camera are unnecessary for me, and I enjoy the simplicity of this device. It has a sturdy build and even though I did not want a white tablet (fear of dirt) it has not been an issue. I have had it for several months and don't feel anxious about using it without a cover.It's ease of use, clean interface, adequate battery life, and features make this a winner for me in the under $100 category. Add to that BN's 1-year warranty and I am more than satisfied with my purchase.My only qualm with the Nook HD is that it has a proprietary charging cable (not a micro usb like cell phones) so it is an extra cord to carry when traveling. In addition, it will not fit just any usb plug (something to do with wattage, I think). So if you plug the usb end into a travel charger or car charger it may not work. Same thing with using a usb port on a computer. IMO this is a major limitation for an otherwise great device, especially for someone that travels frequently.",buy refurb glad try samsung galaxy tab expensive glitchy lenvovo idea tab poor performance settle nook use tablets high low-end price point figure nothing lose pleasantly surprise nook capabilities nook read bn kindle book play scrabble android store watch netflix advance feature gps camera unnecessary enjoy simplicity device sturdy build even though not want white tablet fear dirt not issue several months don feel anxious use without cover.it ease use clean interface adequate battery life feature make winner category add bn -year warranty satisfy purchase.my qualm nook hd proprietary charge cable not micro usb like cell phone extra cord carry travel addition not fit usb plug something wattage think plug usb end travel charger car charger may not work thing use usb port computer imo major limitation otherwise great device especially someone travel frequently .,Excellent value and performance,excellent value performance,4.0,1,0,1.0,2014,4,2014-04-10,good
A23ZWJ9CS8OG30,1400532620,"Amazon is missing big by not supporting library eBooks on its Kindle ! I would've bought Kindle, since I prefer a physical keyboard, better battery life and lighter weight of the Kindle (plus a marginally better processing speed and eink technology), but since my two library systems I belong to contain thousands upon thousands of digital books that I can borrow for 21 days at a time, buying the Nook was a no-brainier !I am cheapskate, so I very rarely buy a book - instead I borrow them from the library. Occasionally though I need to buy a book that is not available in the library at all, or in a digital format, or I need it for more than 21 days (as when I travel overseas), so I end up just buying two digital books from Barnes and Noble for my Nook. Had Amazon not been so afraid of loosing sales by supporting library digital books (a groundless fear IMO), I would've bought those two books from Amazon for my Kindle, instead of from their underdog competitor Barnes and Noble !",amazon miss big not support library ebooks kindle would buy kindle since prefer physical keyboard better battery life lighter weight kindle plus marginally better process speed eink technology since two library systems belong contain thousands upon thousands digital book borrow days time buy nook no-brainier cheapskate rarely buy book instead borrow library occasionally though need buy book not available library digital format need days travel overseas end buy two digital book barnes noble nook amazon not afraid loose sales support library digital book groundless fear imo would buy two book amazon kindle instead underdog competitor barnes noble,"Unlike Kindle, Nook is Public Library Friendly !",unlike kindle nook public library friendly,4.0,3,0,1.0,2011,4,2011-04-07,good
A20X3J5AMM7FHE,1400599997,"Pros: Very nice display , clear than Sony Prs-600S. 5 Star for this.Cons: Touch screen not responsive, navigation is not good. It is a stupid to have two screen for read and menu. waste spaces. Software looks buggy, very irresponsive even if updated the firmware to latest 1.4.3., 2 star for this.Final star 3.",pros nice display clear sony prs star this.cons touch screen not responsive navigation not good stupid two screen read menu waste space software look buggy irresponsive even update firmware latest star this.final star .,"Display well, navigation pain",display well navigation pain,3.0,3,4,0.42857142857142855,2010,11,2010-11-22,bad
A1XN1D2FGCQC8E,B00000JCTO,Works good but I'm worried for how long. The wire is thin and I'm always worried its going to break at the many connection points. Works with the Motorola two way radios.,work good worry long wire thin always worry go break many connection point work motorola two way radio .,Works but seems flimsy,work seem flimsy,3.0,0,0,0.0,2013,11,2013-11-23,bad
A3S1BO0SLFC5H,0972683275,We needed a wall mount for a 32&#8221; TV that was going to be in the screened in porch.  This was one of the brands recommended by the guy that was going to install out wall mount.  I can&#8217;t speak to the ease or difficulty of installation but it looks great and we can swivel it if necessary for best viewing angle.  It's also pretty sleek so it doesn't butt out too much.  It arrived quickly and it didn&#8217;t take the installer long but of course he was a professional.  Looks great!,need wall mount # tv go screen porch one brand recommend guy go install wall mount speak ease difficulty installation look great swivel necessary best view angle also pretty sleek doesn butt much arrive quickly didn take installer long course professional look great,Great mount,great mount,5.0,0,0,0.0,2013,8,2013-08-21,good
A38WJKB6YULQ6J,B00000J3UJ,For users that travels a lot 100% recomended most cases when you need leave your notebook in some conference room or room hotel.,users travel lot recomended case need leave notebook conference room room hotel .,Lock and secure,lock secure,3.0,0,3,0.0,2008,2,2008-02-10,bad
A1L0MEXMESE4C4,0972683275,"received the product and got it installed today. for the most part I am pretty happy with the hardware except the materials being used to make screws or other parts. the screws get very easily damaged by the most commonly used screw drivers that you can find for $1 per piece.  Once I put the bolt into the LCD TV and mount it with the plate, I found myself having a hardtime removing the screw because the tread mark on the screw head is already messed by by the screw driver, which makes me doubt about the material being used on the mount and arms.  is the material used on the mount going to deliver the same quality as the bolts and nuts?",receive product get instal today part pretty happy hardware except materials use make screw part screw get easily damage commonly use screw drivers find per piece put bolt lcd tv mount plate find hardtime remove screw tread mark screw head already mess screw driver make doubt material use mount arm material use mount go deliver quality bolt nut,just got it installed,get instal,3.0,0,0,0.0,2012,12,2012-12-29,bad
A2DCWFE9TAMT6P,B00000JCTO,"Very dissatisfied with this, the earphone (earbud) is fine, but your voice is very muffled and garbled using the microphone. Even a females voice, usually more clear than a males voice, is very hard to understand using the microphone. I have also not been able to get the iVox feature to work with this either.",dissatisfy earphone earbud fine voice muffle garble use microphone even females voice usually clear males voice hard understand use microphone also not able get ivox feature work either .,Very Garbled voice using the built-in Microphone,garble voice use built-in microphone,1.0,0,0,0.0,2014,6,2014-06-12,bad
AAEVGE52KL0DJ,9575871979,"I bought these to power my wife's first high output LED flashlight. They did work, but did't last nearly as long as I'd expected. The charger worked fine and we had no real issues with the batteries, we just weren't impressed.I ended up replacing each pair with a single Panasonic 3100 mA 18650 battery and have been much happier. We ended up giving these away, along with the flashlight to my step-daughter when we upgraded the wife's flashlight to something with a little more punch.",buy power wife first high output lead flashlight work last nearly long expect charger work fine no real issue batteries weren impressed.i end replace pair single panasonic ma battery much happier end give away along flashlight step-daughter upgrade wife flashlight something little punch .,"Okay in our High Output LED Flashlight, but not Great",okay high output lead flashlight not great,3.0,1,0,1.0,2012,12,2012-12-16,bad
A2QCJ9VR3SEIR0,3744295508,"This cable works as advertised.  No need to spend more for an HDMI cable.  There is no difference in picture quality between this cable and brands costing much, much more.",cable work advertise no need spend hdmi cable no difference picture quality cable brand cost much much .,Don't spend any more!,don spend,5.0,0,0,0.0,2010,6,2010-06-04,good
